* Measurement data measured by REW V5.20.5
* Source: /Users/griff/Desktop/REW Curves/Harman2013OE.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 1, 2022 1:57:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/griff/Desktop/REW Curves/Harman2013OE.txt Format: Comma/Tab/Space delimited data 958 values loaded, 20 Hz to 20,040 Hz log spaced
* Measurement: Harman2013OE
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1917.836792 94.723 3.5658
1931.734253 94.812 3.2432
1945.732422 94.904 2.9072
1959.832031 94.999 2.5573
1974.033813 95.098 2.1933
1988.338501 95.200 1.8145
2002.746826 95.306 1.4205
2017.259521 95.415 1.0108
2031.877441 95.528 0.5849
2046.601318 95.644 0.1425
2061.431885 95.764 -0.3171
2076.369873 95.887 -0.7941
2091.416016 96.012 -1.2891
2106.571289 96.140 -1.8024
2121.836426 96.269 -2.3343
2137.212158 96.400 -2.8853
2152.699219 96.532 -3.4556
2168.298584 96.664 -4.0453
2184.010986 96.796 -4.6548
2199.837158 96.928 -5.2842
2215.778076 97.057 -5.9335
2231.834473 97.185 -6.6028
2248.007324 97.311 -7.2920
2264.297363 97.433 -8.0010
2280.705322 97.553 -8.7296
2297.232178 97.669 -9.4777
2313.878906 97.781 -10.2447
2330.646240 97.889 -11.0305
2347.535156 97.992 -11.8346
2364.546387 98.091 -12.6567
2381.680908 98.186 -13.4960
2398.939453 98.276 -14.3521
2416.323242 98.362 -15.2247
2433.833008 98.443 -16.1129
2451.469482 98.520 -17.0162
2469.233887 98.594 -17.9340
2487.126953 98.663 -18.8659
2505.149658 98.729 -19.8111
2523.302979 98.792 -20.7691
2541.587891 98.851 -21.7394
2560.005371 98.907 -22.7215
2578.556152 98.961 -23.7148
2597.241455 99.012 -24.7190
2616.062256 99.061 -25.7334
2635.019287 99.108 -26.7577
2654.113770 99.153 -27.7915
2673.346680 99.196 -28.8345
2692.718750 99.237 -29.8861
2712.231201 99.276 -30.9462
2731.885254 99.313 -32.0143
2751.681641 99.349 -33.0900
2771.621582 99.383 -34.1732
2791.705811 99.416 -35.2633
2811.935547 99.447 -36.3601
2832.312012 99.476 -37.4634
2852.836182 99.503 -38.5726
2873.509033 99.528 -39.6874
2894.331543 99.551 -40.8073
2915.305176 99.572 -41.9322
2936.430664 99.591 -43.0615
2957.709229 99.608 -44.1949
2979.142090 99.622 -45.3318
3000.730225 99.633 -46.4718
3022.474854 99.642 -47.6145
3044.376953 99.648 -48.7594
3066.437744 99.651 -49.9059
3088.658447 99.650 -51.0537
3111.040039 99.647 -52.2021
3133.583984 99.640 -53.3508
3156.291260 99.630 -54.4994
3179.163086 99.617 -55.6471
3202.200684 99.601 -56.7937
3225.405029 99.581 -57.9385
3248.777588 99.558 -59.0812
3272.319580 99.532 -60.2214
3296.032227 99.502 -61.3586
3319.916748 99.470 -62.4923
3343.974121 99.435 -63.6222
3368.206055 99.397 -64.7479
3392.613525 99.356 -65.8692
3417.197754 99.312 -66.9854
3441.960205 99.266 -68.0964
3466.902100 99.218 -69.2017
3492.024658 99.168 -70.3013
3517.329346 99.115 -71.3947
3542.817383 99.061 -72.4819
3568.489990 99.004 -73.5625
3594.348633 98.946 -74.6364
3620.394775 98.886 -75.7033
3646.629639 98.824 -76.7632
3673.054688 98.761 -77.8158
3699.671143 98.697 -78.8613
3726.480469 98.631 -79.8992
3753.484131 98.564 -80.9297
3780.683350 98.496 -81.9527
3808.079834 98.427 -82.9684
3835.674805 98.357 -83.9764
3863.469727 98.285 -84.9769
3891.466064 98.213 -85.9701
3919.665283 98.140 -86.9558
3948.068848 98.066 -87.9342
3976.678223 97.991 -88.9054
4005.494873 97.916 -89.8694
4034.520264 97.840 -90.8264
4063.756104 97.763 -91.7766
4093.203857 97.686 -92.7200
4122.864746 97.608 -93.6567
4152.740723 97.530 -94.5870
4182.833008 97.451 -95.5110
4213.143555 97.372 -96.4290
4243.673828 97.293 -97.3411
4274.425293 97.213 -98.2475
4305.399414 97.134 -99.1483
4336.598145 97.054 -100.0439
4368.022949 96.974 -100.9345
4399.675293 96.895 -101.8203
4431.557129 96.816 -102.7015
4463.669922 96.737 -103.5784
4496.015625 96.659 -104.4513
4528.595703 96.581 -105.3204
4561.411621 96.505 -106.1860
4594.465332 96.428 -107.0484
4627.758789 96.353 -107.9080
4661.293457 96.279 -108.7649
4695.071289 96.205 -109.6194
4729.093750 96.133 -110.4719
4763.362793 96.062 -111.3225
4797.879883 95.992 -112.1719
4832.647461 95.923 -113.0202
4867.666992 95.856 -113.8677
4902.939941 95.789 -114.7147
4938.468750 95.724 -115.5617
4974.254883 95.660 -116.4089
5010.300293 95.597 -117.2566
5046.606934 95.535 -118.1053
5083.176758 95.474 -118.9552
5120.011719 95.414 -119.8067
5157.113281 95.355 -120.6602
5194.483887 95.297 -121.5158
5232.125488 95.240 -122.3743
5270.039551 95.183 -123.2355
5308.228516 95.126 -124.1002
5346.694336 95.071 -124.9684
5385.438477 95.016 -125.8407
5424.463379 94.961 -126.7173
5463.771484 94.906 -127.5983
5503.364258 94.852 -128.4845
5543.244141 94.798 -129.3759
5583.412598 94.744 -130.2727
5623.872070 94.691 -131.1752
5664.625000 94.637 -132.0839
5705.673340 94.583 -132.9988
5747.019043 94.529 -133.9201
5788.664551 94.476 -134.8479
5830.611816 94.421 -135.7826
5872.862793 94.367 -136.7242
5915.419922 94.312 -137.6728
5958.285645 94.257 -138.6284
6001.461914 94.202 -139.5912
6044.951172 94.146 -140.5612
6088.755371 94.089 -141.5384
6132.876953 94.032 -142.5226
6177.318359 93.974 -143.5140
6222.081543 93.916 -144.5124
6267.169434 93.856 -145.5177
6312.583984 93.796 -146.5299
6358.327637 93.736 -147.5489
6404.402832 93.674 -148.5744
6450.812012 93.612 -149.6062
6497.557129 93.548 -150.6442
6544.641113 93.484 -151.6885
6592.066406 93.419 -152.7385
6639.835449 93.352 -153.7943
6687.950195 93.285 -154.8555
6736.414062 93.216 -155.9221
6785.229004 93.147 -156.9938
6834.397461 93.077 -158.0703
6883.922363 93.005 -159.1515
6933.806152 92.932 -160.2373
6984.051270 92.858 -161.3274
7034.660645 92.784 -162.4217
7085.636719 92.708 -163.5200
7136.981934 92.631 -164.6222
7188.699219 92.552 -165.7282
7240.791504 92.473 -166.8379
7293.261230 92.393 -167.9512
7346.111328 92.312 -169.0680
7399.344238 92.229 -170.1882
7452.962891 92.146 -171.3118
7506.970215 92.062 -172.4389
7561.368652 91.977 -173.5693
7616.161621 91.890 -174.7032
7671.351562 91.803 -175.8404
7726.941406 91.715 -176.9810
7782.934082 91.626 -178.1250
7839.332520 91.536 -179.2727
7896.139648 91.445 179.5760
7953.358398 91.354 178.4210
8010.991699 91.261 177.2624
8069.042480 91.168 176.0998
8127.514160 91.074 174.9332
